====================================
=== DATA FILE HEADER INFORMATION ===
====================================
FILENAME:,,6M20214-708388_01.Dta,,OPERATOR  :,12569,,CREATED   :,19-May-21
DEVICE  :,,,,LOT NAME  :,6M20214-70,,TIME POINT:,0
STATION :,,A,,TESTED BY :,TBB,,MAX TESTS :,44
SET QTY :,,32767,,LOGGED QTY:,65,,LOG RATE  :,1
Comment : Test:BYD 200A FS 6M18111 V2


====================================
=== TEST CONDITIONS & STATISTICS ===
====================================
TEST NUMBER:,,T1,,T2,,T3,,T4,,T5,,T6,,T7,,T8,,T9,,T10,,T11,,T12,,T13,,T14,,T15,,T16,,T17,,T18,,T19,,T20,,T21,,T22,,T23,,T24,,T25,,T26,,T27,,T28,,T29,,T30,,T31,,T32,,T33,,T34,,T35,,T36,,T37,,T38,,T39,,T40,,T41,,T42,,T43,,T44,,
TEST ITEM:,,X-AXIS,,Y-AXIS,,PASS#,,CONT,,ICES,,ISGS,,ISGS,,HVBCES,,HVBCES,,HVBCES,,HVBCES,,VTH,,SAME,,VTH,,SAME,,VTH,,SAME,,ABSDEL,,SAME,,ABSDEL,,SAME,,VTH,,SAME,,HVICES,,HVICES,,ISGS,,ISGS,,ISGS,,HVP,,SAME,,HVP,,SAME,,ABSDEL,,DEF,,DIVID,,HVDSON,,SAME,,HVDSON,,SAME,,HVDSON,,SAME,,HVBCES,,HVICES,,ISGS,,
LIMIT:,,0.000  ,,0.000  ,,0.000  ,,0.000  ,,10.00mA,,1.000mA,,1.000mA,,1.270kV,,1.270kV,,1.270kV,,1.270kV,,3.000 V,,7.000  ,,3.000 V,,7.000  ,,3.000 V,,7.000  ,,0.000  ,,2.000  ,,0.000  ,,2.000  ,,5.200 V,,6.800  ,,2.000uA,,2.000uA,,100.0nA,,1.000mA,,100.0nA,,4.500 V,,12.00  ,,4.500 V,,12.00  ,,12.00  ,,8.000  ,,1.000k ,,1.000 V,,1.800  ,,1.300 V,,2.000  ,,1.800 V,,2.450  ,,1.270kV,,2.000uA,,100.0nA,,
BIAS 1:,,0.00  ,,0.00  ,,1.00  ,,0.00  ,,35.0 V,,20.0 V,,40.0 V,,20.0uA,,100 uA,,500 uA,,1.00mA,,10.0uA,,12.0  ,,100 uA,,14.0  ,,300 uA,,16.0  ,,16.0  ,,18.0  ,,16.0  ,,20.0  ,,8.00mA,,22.0  ,,1.20kV,,1.25kV,,40.0 V,,50.0 V,,40.0 V,,15.0 V,,29.0  ,,15.0 V,,31.0  ,,31.0  ,,0.00  ,,34.0  ,,50.0 A,,36.0  ,,100  A,,38.0  ,,200  A,,40.0  ,,100 uA,,1.25kV,,20.0 V,,
BIAS 2:,,0.00  ,,0.00  ,,1.00  ,,0.00  ,,9.99mA,,9.99mA,,9.99mA,,1.80kV,,1.80kV,,1.80kV,,1.80kV,,0.00  ,,0.00  ,,0.00  ,,0.00  ,,0.00  ,,0.00  ,,12.0  ,,0.00  ,,14.0  ,,0.00  ,,0.00  ,,0.00  ,,1.00mA,,1.00mA,,9.99mA,,9.99mA,,9.99mA,,36.0 A,,0.00  ,,44.0 A,,0.00  ,,29.0  ,,0.00  ,,33.0  ,,15.0 V,,0.00  ,,15.0 V,,0.00  ,,15.0 V,,0.00  ,,1.80kV,,9.99mA,,1.00mA,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,


Min Limit:,,1.250E+002, ,1.230E+002, ,1.000E+006, ,1.000E+006, ,0.000E+000,A,0.000E+000,A,0.000E+000,A,5.000E+001,V,5.500E+001,V,1.010E+002,V,1.560E+002,V,3.866E+000,V,3.866E+000, ,5.064E+000,V,5.064E+000, ,5.257E+000,V,5.257E+000, ,4.860E-001, ,4.860E-001, ,1.510E-001, ,1.510E-001, ,5.702E+000,V,5.702E+000, ,1.800E-008,A,2.100E-008,A,0.000E+000,A,7.000E-006,A,0.000E+000,A,7.940E+000,V,7.940E+000, ,8.080E+000,V,8.080E+000, ,9.000E-002, ,8.000E+000, ,4.705E+001, ,1.376E+000,V,1.376E+000, ,1.589E+000,V,1.589E+000, ,2.070E+000,V,2.070E+000, ,0.000E+000,V,1.800E-008,A,0.000E+000,A,
Max Limit:,,1.320E+002, ,1.330E+002, ,0.000E+000, ,0.000E+000, ,3.307E-002,A,9.999E-003,A,9.999E-003,A,1.355E+003,V,1.363E+003,V,1.366E+003,V,1.369E+003,V,4.927E+000,V,4.927E+000, ,5.266E+000,V,5.266E+000, ,5.422E+000,V,5.422E+000, ,1.395E+000, ,1.395E+000, ,1.970E-001, ,1.970E-001, ,5.875E+000,V,5.875E+000, ,9.999E-006,A,9.999E-006,A,1.240E-008,A,9.999E-003,A,9.999E-007,A,8.880E+000,V,8.880E+000, ,8.970E+000,V,8.970E+000, ,1.700E-001, ,8.000E+000, ,8.888E+001, ,1.493E+000,V,1.493E+000, ,1.779E+000,V,1.779E+000, ,2.383E+000,V,2.383E+000, ,1.360E+003,V,5.600E-008,A,8.400E-009,A,
