JUNO Test System DTS-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataFileName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestFileName,,BYD 200A FS 6M18111 V2.jtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,,6M20214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,,11811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,G120Q200LAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Name,,1 CONT_T4,2 ICES_T5,3 ISGS_T6,4 ISGS_T7,5 HVBCES_T8,6 HVBCES_T9,7 HVBCES_T10,8 HVBCES_T11,9 DELAY,10 VTH_T12,11 VTH_T14,12 VTH_T16,13 ABSDEL_T18,14 ABSDEL_T20,15 VTH_T22,16 HVICES_T24,17 HVICES_T25,18 SHORT,19 ISGS_T26,20 ISGS_T27,21 ISGS_T28,22 HVP_T29,23 HVP_T31,24 ABSDEL_T33,25 DIVID_T35,26 HVDSON_T36,27 HVDSON_T38,28 HVDSON_T40,29 HVBCES_T42,30 HVICES_T43,31 SHORT,32 ISGS_T44
Bias1,,IC=1.00mA,VCE=35.0V,VGS=20.0V,VGS=40.0V,ID=20.0uA,ID=100uA,ID=500uA,ID=1.00mA,,ID=10.0uA,ID=100uA,ID=300uA,Value1=#11,Value1=#11,ID=8.00mA,VDS=1.20kV,VDS=1.25kV,IAK=1.00mA,VGS=40.0V,VSG=50.0V,VSG=40.0V,VDS=15.0V,VDS=15.0V,Value1=#22,Value1=8.00,ID=50.0A,ID=100A,ID=200A,ID=100uA,VDS=1.25kV,IAK=1.00mA,VGS=20.0V
Bias2,,,,,,Vmax=1.80kV,Vmax=1.80kV,Vmax=1.80kV,Vmax=1.80kV,,,,,Value2=#9,Value2=#10,,,,,,,,ID=36.0A,ID=44.0A,Value2=#21,Value2=#23,VGS=15.0V,VGS=15.0V,VGS=15.0V,Vmax=1.80kV,,,
Bias3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Limit,,00.00mV,,,,1.270kV,1.270kV,1.270kV,1.270kV,,3.000V,3.000V,3.000V,0,0,5.200V,,,,,,,4.500V,4.500V,0,,1.000V,1.300V,1.800V,1.270kV,,,
Max Limit,,200.0mV,9.999mA,1.000mA,1.000mA,2.000kV,2.000kV,2.000kV,2.000kV,,7.000V,7.000V,7.000V,2,2,6.800V,2.000uA,2.000uA,,99.00nA,1.000mA,0.100uA,12.00V,12.00V,12,1.000k,1.800V,2.000V,2.450V,2.000kV,2.000uA,,99.00nA
Average,,1.221mV,337.0uA,4.831uA,4.776uA,1.330kV,1.333kV,1.343kV,1.345kV,0.000p,4.752V,5.083V,5.239V,487.0m,155.3m,5.673V,60.78nA,62.44nA,-0.000p,23.49nA,6.824uA,2.765nA,7.920V,8.011V,91.30m,88.69,1.313V,1.622V,2.077V,1.334kV,67.65nA,0.000p,23.27nA
STDEV,,0.0003,0.0012,0,0,12.996,13.7769,10.9638,11.1914,0,0.0777,0.0782,0.0798,0.0244,0.0025,0.0837,0,0,0,0,0,0,0.1654,0.1672,0.0118,11.5902,0.0159,0.0238,0.0337,13.6991,0,0,0
Min Data,,900.0uV,-2.000uA,4.000uA,4.000uA,1.296kV,1.285kV,1.307kV,1.313kV,0.000p,4.604V,4.963V,5.115V,475.0m,152.0m,5.542V,52.00nA,52.00nA,-0.001p,20.85nA,5.000uA,0.000pA,7.780V,7.890V,70.00m,61,1.282V,1.576V,2.018V,1.286kV,56.00nA,0.000p,19.14nA
Max Data,,1.900mV,4.775mA,5.000uA,5.000uA,1.355kV,1.356kV,1.360kV,1.361kV,0.000p,4.939V,5.277V,5.436V,659.0m,168.0m,5.880V,83.00nA,82.00nA,0.000p,25.61nA,8.000uA,8.000nA,8.680V,8.780V,130.0m,114,1.342V,1.679V,2.158V,1.357kV,101.0nA,0.000p,25.53nA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial#,Bin#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
